kanji	on_readings	kun_readings	stroke_count	meanings	name_readings	heisig_en	jlpt	grade	notes	unicode
列	['レ', 'レツ']	[]	6	['column', 'file', 'rank', 'row', 'tier']	['れっ']	file	2	3	[]	5217
探	['タン']	['さが.す', 'さぐ.る']	11	['grope', 'look for', 'search']	[]	grope	2	6	[]	63A2
逃	['トウ']	['に.がす', 'に.げる', 'のが.す', 'のが.れる']	9	['escape', 'evade', 'flee', 'set free', 'shirk']	[]	escape	2	8	[]	9003
遊	['ユ', 'ユウ']	['あそ.ばす', 'あそ.ぶ']	12	['play']	['あす', 'う']	play	2	3	[]	904A
迷	['メイ']	['まよ.う']	9	['astray', 'be perplexed', 'err', 'illusion', 'in doubt', 'lost']	[]	astray	2	5	[]	8FF7
夢	['ボウ', 'ム']	['くら.い', 'ゆめ', 'ゆめ.みる']	13	['dream', 'illusion', 'vision']	[]	dream	2	5	[]	5922
君	['クン']	['-ぎみ', 'きみ']	7	['male name suffix', 'mister', 'ruler', 'you']	['み']	old boy	2	3	[]	541B
閉	['ヘイ']	['し.まる', 'し.める', 'た.てる', 'と.ざす', 'と.じる']	11	['closed', 'shut']	['へ']	closed	2	6	[]	9589
緒	['ショ', 'チョ']	['いとぐち', 'お']	14	['beginning', 'cord', 'end', 'inception', 'mental or emotional state', 'strap', 'thong']	['ほ']	thong	2	8	[]	7DD2
折	['シャク', 'セツ']	['-お.り', 'お.り', 'お.る', 'お.れる', 'おり']	7	['bend', 'break', 'fold', 'fracture', 'submit', 'yield']	['せき']	fold	2	4	[]	6298
草	['ソウ']	['-ぐさ', 'くさ', 'くさ-']	9	['draft', 'grass', 'herbs', 'pasture', 'weeds', 'write']	['そ', 'や']	grass	2	1	[]	8349
暮	['ボ']	['く.らす', 'く.れる']	14	"['evening', 'livelihood', 'make a living', ""season's end"", 'spend time', 'twilight']"	['ぐらし', 'ぐれ', 'ぽ']	livelihood	2	6	[]	66AE
酒	['シュ']	['さか-', 'さけ']	10	['alcohol', 'sake']	['き', 'さ', 'し']	sake	2	3	[]	9152
悲	['ヒ']	['かな.しい', 'かな.しむ']	12	['deplore', 'grieve', 'regret', 'sad']	[]	sad	2	3	[]	60B2
晴	['セイ']	['-ば.れ', 'は.らす', 'は.れ', 'は.れ-', 'は.れる']	12	['clear up']	['はる', 'はれ']	clear up	2	2	[]	6674
掛	['カイ', 'ケイ']	['-か.かる', '-か.け', '-か.ける', '-が.かり', '-が.かる', '-が.け', '-がかり', 'か.かり', 'か.かる', 'か.け', 'か.ける', 'かかり']	11	['arrive at', 'depend', 'hang', 'pour', 'suspend', 'tax']	['かけ']	hang	1	8	[]	639B
到	['トウ']	['いた.る']	8	['arrival', 'attain', 'proceed', 'reach', 'result in']	[]	arrival	2	8	[]	5230
